name,code,country_id
ADANA,01,Turkey
ADIYAMAN,02,Turkey
AFYON,03,Turkey
AĞRI,04,Turkey
AMASYA,05,Turkey
ANKARA,06,Turkey
ANTALYA,07,Turkey
ARTVİN,08,Turkey
AYDIN,09,Turkey
BALIKESİR,10,Turkey
BİLECİK,11,Turkey
BİNGÖL,12,Turkey
BİTLİS,13,Turkey
BOLU,14,Turkey
BURDUR,15,Turkey
BURSA,16,Turkey
ÇANAKKALE,17,Turkey
ÇANKIRI,18,Turkey
ÇORUM,19,Turkey
DENİZLİ,20,Turkey
DİYARBAKIR,21,Turkey
EDİRNE,22,Turkey
ELAZIĞ,23,Turkey
ERZİNCAN,24,Turkey
ERZURUM,25,Turkey
ESKİŞEHİR,26,Turkey
GAZİANTEP,27,Turkey
GİRESUN,28,Turkey
GÜMÜŞHANE,29,Turkey
HAKKARİ,30,Turkey
HATAY,31,Turkey
ISPARTA,32,Turkey
MERSİN,33,Turkey
İSTANBUL,34,Turkey
İZMİR,35,Turkey
KARS,36,Turkey
KASTAMONU,37,Turkey
KAYSERİ,38,Turkey
KIRKLARELİ,39,Turkey
KIRŞEHİR,40,Turkey
KOCAELİ,41,Turkey
KONYA,42,Turkey
KÜTAHYA,43,Turkey
MALATYA,44,Turkey
MANİSA,45,Turkey
KAHRAMANMARAŞ,46,Turkey
MARDİN,47,Turkey
MUĞLA,48,Turkey
MUŞ,49,Turkey
NEVŞEHİR,50,Turkey
NİĞDE,51,Turkey
ORDU,52,Turkey
RİZE,53,Turkey
SAKARYA,54,Turkey
SAMSUN,55,Turkey
SİİRT,56,Turkey
SİNOP,57,Turkey
SİVAS,58,Turkey
TEKİRDAĞ,59,Turkey
TOKAT,60,Turkey
TRABZON,61,Turkey
TUNCELİ,62,Turkey
ŞANLIURFA,63,Turkey
UŞAK,64,Turkey
VAN,65,Turkey
YOZGAT,66,Turkey
ZONGULDAK,67,Turkey
AKSARAY,68,Turkey
BAYBURT,69,Turkey
KARAMAN,70,Turkey
KIRIKKALE,71,Turkey
BATMAN,72,Turkey
ŞIRNAK,73,Turkey
BARTIN,74,Turkey
ARDAHAN,75,Turkey
IĞDIR,76,Turkey
YALOVA,77,Turkey
KARABÜK,78,Turkey
KİLİS,79,Turkey
OSMANİYE,80,Turkey
DÜZCE,81,Turkey
