name,code,state_id
Pozantı Mal Müd.,1109,ADANA
Çukurova VD.,1255,ADANA
Beşocak VD.,1251,ADANA
Karataş VD.,1205,ADANA
Kozan VD.,1203,ADANA
Ceyhan VD.,1201,ADANA
İmamoğlu Mal Müd.,1115,ADANA
Yumurtalık Mal Müd.,1112,ADANA
Aladağ Mal Müd.,1114,ADANA
Saimbeyli Mal Müd.,1110,ADANA
Karaisalı Mal Müd.,1105,ADANA
Tufanbeyli Mal Müd.,1111,ADANA
Ziyapaşa VD.,1254,ADANA
Seyhan VD.,1253,ADANA
Yüreğir VD.,1252,ADANA
Feke Mal Müd.,1103,ADANA
Adıyaman VD.,2260,ADIYAMAN
Kahta VD.,2261,ADIYAMAN
Samsat Mal Müd.,2106,ADIYAMAN
Sincik Mal Müd.,2107,ADIYAMAN
Tut Mal Müd.,2108,ADIYAMAN
Besni Mal Müd.,2101,ADIYAMAN
Çelikhan Mal Müd.,2102,ADIYAMAN
Gerger Mal Müd.,2103,ADIYAMAN
Gölbaşı Mal Müd.,2104,ADIYAMAN
Tınaztepe VD.,3201,AFYON
Dazkırı Mal Müd.,3103,AFYON
İhsaniye Mal Müd.,3105,AFYON
Sincanlı Mal Müd.,3107,AFYON
Sultandağı Mal Müd.,3108,AFYON
Şuhut Mal Müd.,3109,AFYON
Başmakçı Mal Müd.,3111,AFYON
Bayat Mal Müd.,3112,AFYON
İscehisar Mal Müd.,3113,AFYON
Çobanlar Mal Müd.,3114,AFYON
Evciler Mal Müd.,3115,AFYON
Hocalar Mal Müd.,3116,AFYON
Kızılören Mal Müd.,3117,AFYON
Emirdağ VD.,3262,AFYON
Sandıklı VD.,3263,AFYON
Kocatepe VD.,3280,AFYON
Dinar VD.,3260,AFYON
Çay VD.,3202,AFYON
Bolvadin VD.,3261,AFYON
Tutak Mal Müd.,4107,AĞRI
Taşlıçay Mal Müd.,4106,AĞRI
Diyadin Mal Müd.,4101,AĞRI
Patnos Mal Müd.,4105,AĞRI
Ağrı VD.,4260,AĞRI
Doğubeyazıt VD.,4261,AĞRI
Eleşkirt Mal Müd.,4103,AĞRI
Hamur Mal Müd.,4104,AĞRI
Amasya VD.,5260,AMASYA
Gümüşhacıköy VD.,5262,AMASYA
Taşova VD.,5263,AMASYA
Suluova VD.,5264,AMASYA
Hamamözü Mal Müd.,5106,AMASYA
Göynücek Mal Müd.,5101,AMASYA
Merzifon VD.,5261,AMASYA
Cumhuriyet VD.,6277,ANKARA
Evren Mal Müd.,6127,ANKARA
Akyurt Mal Müd.,6125,ANKARA
Kazan Mal Müd.,6124,ANKARA
Nallıhan Mal Müd.,6117,ANKARA
Kızılcahamam Mal Müd.,6115,ANKARA
Kalecik Mal Müd.,6112,ANKARA
Güdül Mal Müd.,6110,ANKARA
Kavaklıdere VD.,6253,ANKARA
Maltepe VD.,6254,ANKARA
Yenimahalle VD.,6255,ANKARA
Çankaya VD.,6257,ANKARA
Kızılbey VD.,6258,ANKARA
Mithatpaşa VD.,6259,ANKARA
Ulus VD.,6260,ANKARA
Yıldırımbeyazıt VD.,6261,ANKARA
Seğmenler VD.,6262,ANKARA
Ulusite VD.,6263,ANKARA
Dikimevi VD.,6264,ANKARA
Doğanbey VD.,6265,ANKARA
Yeğenbey VD.,6266,ANKARA
Hitit VD.,6268,ANKARA
Yahya Galip VD.,6269,ANKARA
M.Karagüzel VD.,6270,ANKARA
Ostim VD.,6271,ANKARA
Gölbaşı VD.,6272,ANKARA
Sincan VD.,6273,ANKARA
Dışkapı VD.,6274,ANKARA
Etimesgut VD.,6275,ANKARA
Başkent VD.,6276,ANKARA
Keçiören VD.,6278,ANKARA
Çamlıdere Mal Müd.,6106,ANKARA
Bala Mal Müd.,6103,ANKARA
Ayaş Mal Müd.,6102,ANKARA
Veraset Ve Harçlar VD.,6252,ANKARA
Elmadağ VD.,6215,ANKARA
Haymana VD.,6213,ANKARA
Çubuk VD.,6211,ANKARA
Beypazarı VD.,6209,ANKARA
Şereflikoçhisar VD.,6207,ANKARA
Polatlı VD.,6205,ANKARA
Üçkapılar VD.,7251,ANTALYA
Kumluca VD.,7206,ANTALYA
Kemer VD.,7205,ANTALYA
Finike Mal Müd.,7104,ANTALYA
İbradı Mal Müd.,7113,ANTALYA
Demre Mal Müd.,7112,ANTALYA
Korkuteli Mal Müd.,7108,ANTALYA
Kaş Mal Müd.,7107,ANTALYA
Akseki Mal Müd.,7101,ANTALYA
Alanya VD.,7201,ANTALYA
Serik VD.,7202,ANTALYA
Manavgat VD.,7203,ANTALYA
Elmalı VD.,7204,ANTALYA
Gündoğmuş Mal Müd.,7106,ANTALYA
Gazipaşa Mal Müd.,7105,ANTALYA
Antalya Kurumlar VD.,7255,ANTALYA
Düden VD.,7254,ANTALYA
Muratpaşa VD.,7253,ANTALYA
Kalekapı VD.,7252,ANTALYA
Borçka Mal Müd.,8103,ARTVİN
Hopa VD.,8261,ARTVİN
Artvin VD.,8260,ARTVİN
Ardanuç Mal Müd.,8101,ARTVİN
Arhavi Mal Müd.,8102,ARTVİN
Şavşat Mal Müd.,8105,ARTVİN
Yusufeli Mal Müd.,8106,ARTVİN
Murgul Mal Müd.,8107,ARTVİN
Yenipazar Mal Müd.,9111,AYDIN
Kuşadası VD.,9265,AYDIN
Güzelhisar VD.,9280,AYDIN
Didim VD.,9281,AYDIN
Köşk Mal Müd.,9115,AYDIN
Kuyucak Mal Müd.,9107,AYDIN
Bozdoğan Mal Müd.,9101,AYDIN
Sultanhisar Mal Müd.,9110,AYDIN
Karpuzlu Mal Müd.,9114,AYDIN
İncirliova Mal Müd.,9113,AYDIN
Buharkent Mal Müd.,9112,AYDIN
Karacasu Mal Müd.,9104,AYDIN
Koçarlı Mal Müd.,9105,AYDIN
Efeler VD.,9201,AYDIN
Nazilli VD.,9260,AYDIN
Söke VD.,9261,AYDIN
Çine VD.,9262,AYDIN
Germencik VD.,9263,AYDIN
Marmara Mal Müd.,10117,BALIKESİR
Gömeç Mal Müd.,10118,BALIKESİR
Karesi VD.,10201,BALIKESİR
Ayvalık VD.,10260,BALIKESİR
Bandırma VD.,10261,BALIKESİR
Burhaniye VD.,10262,BALIKESİR
Edremit VD.,10263,BALIKESİR
Gönen VD.,10264,BALIKESİR
Susurluk VD.,10265,BALIKESİR
Erdek VD.,10266,BALIKESİR
Bigadiç VD.,10267,BALIKESİR
Sındırgı VD.,10268,BALIKESİR
Dursunbey VD.,10269,BALIKESİR
Kurtdereli VD.,10280,BALIKESİR
Balya Mal Müd.,10102,BALIKESİR
Havran Mal Müd.,10110,BALIKESİR
İvrindi Mal Müd.,10111,BALIKESİR
Kepsut Mal Müd.,10112,BALIKESİR
